"region";"subregion";"key";"value"
"All";"Suisse Allemande";"Obwald";37.9
"All";"Suisse Allemande";"Uri";36.7
"All";"Suisse Allemande";"Zürich";1539.3
"All";"Suisse Allemande";"Berne";1039.5
"All";"Suisse Allemande";"Lucerne";413.1
"All";"Suisse Allemande";"Schwyz";160.5
"All";"Suisse Allemande";"Nidlwald";43.1
"All";"Suisse Allemande";"Grisons";199.0
"All";"Suisse Allemande";"Glaris";40.6
"All";"Suisse Allemande";"Zug";127.6
"All";"Suisse Allemande";"Soleure";275.2
"All";"Suisse Allemande";"Bâle-Ville";195.8
"All";"Suisse Allemande";"Bâle-Campagne";289.5
"All";"Suisse Allemande";"Appenzell Rhôdes-Extérieures";55.4
"All";"Suisse Allemande";"Appenzell Rhôdes-Intérieures";16.1
"All";"Suisse Allemande";"Saint-Gall";510.7
"All";"Suisse Allemande";"Argovie";685.8
"All";"Suisse Allemande";"Thurgovie";279.5
"All";"Suisse Allemande";"Schaffouse";82.3
"Fr";"Suisse Romande";"Vaud";805.1
"Fr";"Suisse Romande";"Fribourg";321.8
"Fr";"Suisse Romande";"Jura";73.6
"Fr";"Suisse Romande";"Genève";504.1
"Fr";"Suisse Romande";"Valais";345.5
"Fr";"Suisse Romande";"Neuchâtel";176.5
"It";"Suisse Italienne";"Tessin";351.5